Название региона:,Чукотский автономный округ,,,,,,,,
Столица региона:,Анадырь,,,,,,,,
,,,,,,,,,
Язык,Статус,,,,,,,,
чукотский,язык КМНС,,,,,,,,
эскимосский,язык КМНС,,,,,,,,
эвенский,язык КМНС,,,,,,,,
,,,,,,,,,
Чукотский,,,,,,,,,
Сфера,Описание с примерами,Источник,,,,,,,
Культура,"Ансамбль ""Эргирон"" и другие",https://ergyron.ru/,,,,,,,
Образование,В поселениях компактного проживания в школах с 1 до 9 класс. 1–7 кл. – 2 ч. в неделю; 8–9 кл. – 1 ч. в неделю.,ЯО 567,,,,,,,
Наука ,Институт народов севера при РГПУ им. Герцена - подготовка учителей,ЯО 567,,,,,,,
СМИ,"Приложение к газете «Золотая Чукотка» «Унпэӈэр» (г. Билибино), приложение к газете «Крайний Север» «Вэтгав». Новости на ТВ 3 раза в неделю (всего 75 минут), передачи на Радио России (всего 85 минут в неделю)",ЯО 567,,,,,,,
Судо- и делопроизводство,-,,,,,,,,
Интернет,,,,,,,,,
"Документы, касающиеся языковой политики"," Закон Чукотского автономного округа от 23.10.2017 № 65 - ОЗ ""О родных языках коренных малочисленных народов Севера, Сибири и Дальнего Востока Российской Федерации, проживающих на территории Чукотского автономного округа"" ",http://publication.pravo.gov.ru/Document/View/8700201710260015?index=0&rangeSize=1,,,,,,,
Городская среда,-,,,,,,,,
,,,,,,,,,
Язык,Самоназвание,Письменность,Витальность,Юридический статус,Общее число носителей в РФ,Диалекты,Семья и ветвь ,Регион традиционного распространения,"Регионы, в которых этот язык встречается"
чукотский,лыгъоравэтлъан йилйил,кириллица,6b (Threatened),официальный,5095,"Восточный, западный, энмылинский, нунлигранский и хатырский диалекты",чукотский язык < чукотско-камчатская семья,"Чукотский автономный округ, республика Саха (Якутия)","Республика Саха (Якутия)
Камчатский Край
Чукотский АО"
,http://web-corpora.net/wsgi3/minorlangs/view/ckt,http://web-corpora.net/wsgi3/minorlangs/view/ckt,https://www.ethnologue.com/language/ckt,http://web-corpora.net/wsgi3/minorlangs/view/ckt,http://web-corpora.net/wsgi3/minorlangs/view/ckt,https://cyberleninka.ru/article/n/chukotskiy-yazyk-geografiya-govory-i-predstavleniya-nositeley-o-chlenenii-svoey-yazykovoy-obschnosti,http://web-corpora.net/wsgi3/minorlangs/view/ckt,https://cyberleninka.ru/article/n/chukotskiy-yazyk-geografiya-govory-i-predstavleniya-nositeley-o-chlenenii-svoey-yazykovoy-obschnosti,"https://docs.google.com/spreadsheets/d/1PAEfnP-9P_bOS3Kt8wtopjIe_qjTYMXN/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1VJ7rhK4BiGO3IkEULzLtYvHRYrv3UF7o/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1NIwsVUsAw_uCLG6Og4MyGoX98JTgRZ-D/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true"
,,,,,,https://iling-ran.ru/library/sociolingva/2016_jazyk_i_obschestvo.pdf,,,
,,,,,,,,,
Эскимосский,,,,,,,,,
Сфера,Описание с примерами,Источник,,,,,,,
Культура,"Ансамбль ""Атасикун""",http://www.chukotken.ru/?cat=153,,,,,,,
Образование,"пос. Новое Чаплино и Сиреники: предмет в дет.садах и начальных классах, в 5–11 классах – факультатив. Предмет в Пед. колледже г. Анадырь",ЯО 595,,,,,,,
Наука ,Институт народов севера при РГПУ им. Герцена - подготовка учителей,,,,,,,,
СМИ,Анадырское радио: несколько часов в неделю,ЯО 595,,,,,,,
Судо- и делопроизводство,-,,,,,,,,
Интернет,-,,,,,,,,
"Документы, касающиеся языковой политики"," Закон Чукотского автономного округа от 23.10.2017 № 65 - ОЗ ""О родных языках коренных малочисленных народов Севера, Сибири и Дальнего Востока Российской Федерации, проживающих на территории Чукотского автономного округа"" ",http://publication.pravo.gov.ru/Document/View/8700201710260015?index=0&rangeSize=1,,,,,,,
Городская среда,-,,,,,,,,
,,,,,,,,,
Язык,Самоназвание,Письменность,Витальность,Юридический статус,Общее число носителей в РФ,Диалекты,Семья и ветвь ,Регион традиционного распространения,"Регионы, в которых этот язык встречается"
эскимосский,юпик,"кириллица, латиница",7 (Shifting),язык коренного малочисленного народа РФ,500,"науканский, чаплинский, ",эскимосский < эскимосская ветвь < эскимосско-алеутская,Чукотский автономный округ,Чукотский АО
,http://web-corpora.net/wsgi3/minorlangs/view/ess,http://web-corpora.net/wsgi3/minorlangs/view/ess,https://www.ethnologue.com/language/ess,ЯО: с. 593,http://web-corpora.net/wsgi3/minorlangs/view/ess,https://www.ethnologue.com/language/ess,https://www.ethnologue.com/language/ess,http://web-corpora.net/wsgi3/minorlangs/view/ess,https://docs.google.com/spreadsheets/d/1NIwsVUsAw_uCLG6Og4MyGoX98JTgRZ-D/edit#gid=331883663
,,,,,здесь 200 указано для РФ: https://www.ethnologue.com/language/ess,,,,
,,,,,,,,,
Эвенский,,,,,,,,,
Сфера,Описание с примерами,Источник,,,,,,,
Культура,-,действительно ничего,,,,,,,
