Название региона:,Республика Карелия,
Столица региона:,г. Петрозаводск,
,,
,,
,,
,,
Язык,Статус,
карельский,официальный,
вепсский,"официальный, язык коренного малочисленного народа Севера",
финский,официальный,
татарский,—,
украинский,—,
белорусский,—,
,,
,,
,,
карельский   ,,
Сфера,Описание с примерами,Источник
искусство,"До 1998 г. в Карелии было издано всего 9 книг на карельском языке. В период с 1998 по 2008 гг. вышло 32 книги. Изданы три литературных альманаха карелоязычных писателей, в 2006 г. издан сборник произведений молодых авторов «Nuori Karjala» («Молодая Карелия»).  ","1. ЯО: с. 105, 207
2. http://www.finnougoria.ru/logos/lit_kritika/1415/14021/
3. http://www.bookchamber.ru/statistics.html 4. https://opastajat.net/luvekkua/luvekkua.html "
образование,"В районах функционируют 22 детских сада, где преподается карельский язык. В двух дошкольных учреждениях (в пос. Калевала и в г. Петрозаводск) карельскому языку обучают детей по принципу «языкового гнезда». 
В учреждениях начального, общего, среднего и высшего образования не используется как средство образования, однако преподаётся приблизительно в 52 школах (2 или 3 часа в неделю). Большинство изучающих карельский язык — ученики 1-4 классов.
Существуют учебники карельского языка как для собственно карельского диалекта, так и для ливвиковского диалекта, а также буквари и словари. Вепсский язык используется в учебной и методической литерату­ре: созданы букварь, учебники, книги для чтения, грам­матика вепсского языка, сборники текстов, учебный сло­варь, словари литературного языка, разговорник. В 1991 г. опубликованы букварь «Abekirj» и учебник для 2 класса «Lugem i pagižem vepsäks», подготовленные Н. Зайцевой и М. Муллонен.
В Центре народного творчества в Петрозаводске можно записаться на курсы любого из трех диалектов карельского языка.
Большое влияние на поддержку карельского языка оказывает Дом карельского языка в селе Ведлозеро. Его принцип заключается в том, чтобы посетители свободно общались между собой и занимались различной деятельностью на карельском языке, тем самым развивая свой язык.","1. ЯО: с. 105, 206
2. https://pandia.ru/text/78/024/5226.php
3. https://mel.fm/shkola/1824975-karelian_language
4. http://old.gov.karelia.ru/Power/Committee/National/veps.html
5. https://rus4all.ru/vep/"
наука ,"Преподавателями Петрозаводского государственного университета создан дистанционный курс обучения на карельском языке. 
Были выпущены следующие словари и справочники: путеводитель по Карелии (на карельском и вепсском языках), учебные словари карельского языка (на двух диа­лектах), образцы карельской речи, словарь литературно­го языка (ливвиковский диалект), финско-­карельский словарь, русско-­карельский словарь, карельско-русский словарь, Учебный вепсско­-русско­-вепсский словарь, Новый русско­-вепс­ский словарь и Новый вепсско­-русский словарь литера­турного языка, а также разговорник вепсского языка.
Проблемами карельского и вепсского языков, его изучением и развитием занима­ются Институт языка, литературы и истории КарНЦ РАН, Петрозаводский государственный университет и Карельская государственная педаго­гическая академия.
Из современных работ об этих языках можно отметить ""Карельский язык в грамматиках. Сравнительное исследование фонетической и грамматической систем"" (Новак и др., 2019), ""Очерки вепсской диалектологии (лингвогеографический аспект)"" (Зайцева, 2016).","1. ЯО: с. 105, 206
2. https://www.elibrary.ru/item.asp?id=41460604
3. https://www.elibrary.ru/item.asp?id=27336016"
СМИ," В Карелии на карельском языке выходят газеты: «Vienan Karjala» («Беломорская Карелия») – общественно­политическая газета, выходит 2 раза в месяц и «Oma Mua» («Родная земля»; вот электронная версия http://omamua.ru ) – общественно-­политическая еженедельная га­зета, с 2000 г. выходит только на ливвиковском диалекте; а также журналы: «Kipinä» («Искорка») – детский ежемесячный, выходит также на финском и вепсском языках, а на карельском языке этот журнал представляет собой «перевертыш»: с одной стороны, он представлен на северном диалекте карельского, с другой – на южном диалекте; «Carelia» – ежемесячный журнал, выходит на финском языке, но отдельные материалы публикуются на карель­ском и вепсском языках. ","1. ЯО: с. 105, 206
2. http://omamua.ru
3. https://petrsu.ru/news/2019/68022/vepsskii-yazyk--tcha
"
"законодательство, судопроизводство, делопроизводство","Карельский может использоваться органами местного самоуправления, также в Карелии допускается возможность ведения официального делопроизводства, а также публикации законов и других нормативно-правовых актов на карельском. На самом деле, это право не реализуется, используется только русский язык. На карельском языке были опубликованы Проект закона Республи­ки Карелия «О языках в Республике Карелия», Поясни­тельная записка к проекту закона. На карельский переведена Всеобщая декларация прав человека.","1. ЯО: с. 106, 207
2. http://docs.cntd.ru/document/919316706
3. http://www.indigenous.ru/dec/dec_kar.pdf
4. http://www.indigenous.ru/dec/dec_vep.pdf"
городская среда,"В последние годы в некоторых районах республики появились до­рожные указатели на карельском языке. В древнем селе Шелтозеро и соседних де­ревнях – местах компактного проживания вепсов – уста­новлены указатели населенных пунктов на родном язы­ке. 
На некоторых (немногих) министерствах и различных административных учреждениях таблички продублированы на карельский язык.","ЯО: с. 106, 207"
интернет,"В социальной сети ""Вконтакте"" существуют сообщества, посвящённые изучению карельского. 
Были разработаны дистанционные курсы для изучения карельского. В социальной сети ""Instagram"" можно найти аккаунт общества карельской культуры «VIENA», располагающегося в г. Костомукша
Есть несколько сайтов на карельском.","https://vk.com/karjalan_kieli, http://nuorikarjala.ru, https://www.instagram.com/viena_karjala/, http://karjal.fi "
"документы, касающиеся языковой политики в конкретном регионе","Пункт 2 статьи 11 Конституции Республики Карелия: ""В Республике Карелия народам, проживающим на ее территории, гарантируется право на сохранение родного языка, создание условий для его изучения и развития"". Закон Республики Карелия ""О государственной поддержке карельского, вепсского и финского языков в Республике Карелия"" от 19 марта 2004 года N 759-ЗРК.","1. http://old.gov.karelia.ru/gov/Constitution/mlaw01_c.html
2. http://docs.cntd.ru/document/919316706"
,,
вепсский,,
Сфера,Описание с примерами,Источник
искусство,"Молодая вепсская литература связана с именами Ни­колая Абрамова, Алевтины Андреевой, Михаила Башни­на, Анатолия Петухова. В 2001 г. состоялась первая все­ мирная конференция вепсских писателей и поэтов в г. Кухмо. Изданы на CD-дисках вепсские сказки «Vep­sän rahvahan sarnad». Самым крупным в жанровом отношении поэтическим произведением на сегодняшний момент является поэма «Virantanaz» («Вирантаназ», 2012) Н. Зайцевой, в которой фольклорные мотивы переплетаются с диалогами, песнями, похоронными и свадебными плачами.
В 2019 г. по данным Российской книжной палаты на карельском было выпущено 11 книг общим тиражом 4550 экземпляров, а на вепском — 3 книги общим тира­жом 900 экземпляров.
В Карелии существует множество музыкальных коллективов и исполнителей, исполняющих песни на национальных языках. Одним из самых известных и старейших в Карелии народных ансамблей является «Кантеле», участники которого исполняют народные песни и танцы на карельском и вепсском языках. 
Что касается кино, был создан видеофильм «Vepsan sai», представляющий со­бой художественную реконструкцию вепсского свадеб­ного обряда. Все роли в фильме сыграли жители вепс­ ских сел, не забывшие язык предков. Создан научно­-популярный телефильмм на вепсском языке «Živatad vepsläižiden elos». В 2008 г. были созданы фильмы «Животные в жизни вепсов» и «Жизнь вепсско­го дома» на вепсском языке. ","1. ЯО: с. 105, 207
2. http://www.finnougoria.ru/logos/lit_kritika/1415/14021/
3. http://www.bookchamber.ru/statistics.html"
образование,"Вепсский язык используется в учебной и методической литерату­ре: созданы букварь, учебники, книги для чтения, грам­матика вепсского языка, сборники текстов, учебный сло­варь, словари литературного языка, разговорник. В 1991 г. опубликованы букварь «Abekirj» и учебник для 2 класса «Lugem i pagižem vepsäks», подготовленные Н. Зайцевой и М. Муллонен.
В Центре народного творчества в Петрозаводске можно записаться на курсы любого из трех диалектов карельского языка.","1. ЯО: с. 105, 206
2. https://pandia.ru/text/78/024/5226.php
3. https://mel.fm/shkola/1824975-karelian_language
4. http://old.gov.karelia.ru/Power/Committee/National/veps.html
5. https://rus4all.ru/vep/"
